fein	filing_date	stmt_of_purpose
841610093	2017-05-18	MPOWERED PROVIDES PUBLIC FINANCIAL EDUCATION AND ONE-ON-ONE FINANCIAL COACHING SERVICES TO INDIVIDUALS AND FAMILIES WHO LIVE IN COLORADO. OUR VISION IS FINANCIAL SECURITY FOR ALL. OUR MISSION IS TO EMPOWER PEOPLE TO TRANSFORM THEIR FINANCIAL FUTURES. MPOWERED PROVIDES FINANCIAL COACHING AND EDUCATION VIA 3 CORE PROGRAMS: 1) GROUP-BASED FINANCIAL EDUCATION CLASSES, 2) ONE-ON-ONE FINANCIAL COACHING, AND 3) ONE-ON-ONE DEBT MANAGEMENT COUNSELING. BECAUSE THE MAJORITY OF OUR SERVICES ARE PROVIDED FACE-TO-FACE AT OUR OFFICES IN LAKEWOOD AND METRO DENVER, THE MAJORITY OF OUR CLIENTS LIVE WITHIN ONE HOUR'S DRIVE (THE GREATER DENVER METRO AREA).  WE ALSO OFFER PHONE COUNSELING TO CLIENTS WHO ARE UNABLE TO COME TO OUR OFFICE. IN 2015, MPOWERED SERVED 4812 COLORADANS WITH FINANCIAL EDUCATION AND COACHING.  OF THESE CLIENTS, OVER 90% WERE FROM LOW-MOD INCOME HOUSEHOLDS (HAVE INCOMES THAT ARE LESS THAN THEIR RESPECTIVE AREA MEDIAN INCOME). DURING 2015, 111 FAMILIES BECAME DEBT-FREE THROUGH OUR DEBT MANAGEMENT PROGRAM, AND CLIENTS IN OUR FINANCIAL EMPOWERMENT CENTER COACHING PROGRAM REDUCED THEIR DEBT BY ALMOST $3 MILLION AND INCREASED THEIR SAVINGS BY ALMOST $500,000. CLIENTS MET MANY OTHER OUTCOMES, INCLUDING TRANSITIONING TO SAFE, AFFORDABLE BANK ACCOUNTS, ESTABLISHING A REGULAR SAVINGS HABIT, AND INCREASING THEIR CREDIT SCORES ON THEIR WAY TO FINANCIAL STABILITY AND SECURITY.
270095610	2016-10-04	THE BOULDER GREEN BUILDING GUILD (BGBG) IS AN ASSOCIATION OF BUILDING PROFESSIONALS DEDICATED TO PROMOTING HEALTHIER, RESOURCE-EFFICIENT HOMES AND WORKPLACES. WE STRIVE TO ADVANCE THE CRAFT OF GREEN BUILDING; SUPPORT OUR MEMBERS' ENVIRONMENTALLY-RESPONSIBLE ENDEAVORS; PROVIDE EFFECTIVE VOLUNTEER OPPORTUNITIES; AND BE THE FOCAL POINT FOR COMMUNICATION ON GREEN BUILDING. OUR VISION IS TO EMPOWER PEOPLE TO BUILD HEALTHY, RESOURCE-EFFICIENT COMMUNITIES.
840931491	2018-07-26	WINGS OVER THE ROCKIES AIR & SPACE MUSEUM OPERATES A PUBLIC MUSEUM THAT DISPLAYS NUMEROUS AIRCRAFT AND OTHER AIR AND SPACE COLLECTIONS.  THE ATTENDANCE ON AN ANNUAL BASIS IS 130,000 PEOPLE.  WE PROVIDE HISTORICAL EXHIBITS AS WELL AS SCHOOL AGE EDUCATIONAL PROGRAMS.
841512394	2018-08-08	"THE PURPOSE OF THE ""FRIENDS OF THE PARK COUNTY LIBRARIES"" ORGANIZATION IS TO ASSIST THE FOUR PARK COUNTY PUBLIC LIBRARIES THROUGH FUND RAISING PROGRAMS, COORDINATION OF ACTIVITIES AND EFFORTS, AND VOLUNTEERING AND COMMUNITY INVOLVEMENT. FINANCIAL SUPPORT FOR THE LIBRARIES IS ALWAYS LIMITED. TO ASSIST IN OBTAINING NEEDED COMPUTERS, FURNITURE, FACILITIES IMPROVEMENTS, AND EQUIPMENT UPGRADES, INDIVIDUAL ""FRIENDS"" GROUPS RAISE FUNDS THROUGH BOOK SALES, RAFFLES, AUCTIONS AND DONATIONS. TO AUGMENT THESE LOCAL EFFORTS THE UMBRELLA GROUP ORGANIZATION SEEKS THE MUCH LARGER SUMS NEEDED FOR NEW BUILDINGS, BUILDING EXPANSIONS AND RENOVATIONS. EFFORTS ARE DEVOTED TO PLANNING, PROJECT DEVELOPMENT, AND COORDINATION OF ACTIVITIES AND EFFORTS AMONG AND BETWEEN THE FOUR LIBRARIES."
273629076	2018-08-22	SILVERTON THREADS IS A SOCIAL AND CHARITABLE ORGANIZATION WHICH CONDUCT A QUILT SHOW YEARLY WITH PROCEEDS FROM SALES DONATED TO LOCAL CAUSES, SUCH AS THE YOUTH CENTER, SENIOR CITIZENS AND FOOD BANK.
846023012	2018-07-26	THE PURPOSE OF THE MANITOU SPRINGS KIWANIS FOUNDATION IS TO RAISE FUNDS AND EXPEND THEM FOR SCHOLARSHIPS, PRIMARILY FOR NEEDY AND EXCEPTIONAL STUDENTS GRADUATING FROM MANITOU SPRINGS HIGH SCHOOL.  PREFERENCE WILL BE GIVEN TO NEEDY AND EXCEPTIONAL STUDENTS GRADUATING FROM MANITOU SPRINGS HIGH SCHOOL WHO PLAN TO ATTEND COLLEGES AND UNIVERSITIES WITHIN THE STATE OF COLORADO.
841507796	2018-02-20	TO INSTRUCT APPROXIMATELY 120 YOUTH IN THE SPORT OF VOLLEYBALL EMPHASIZING SPORTSMANSHIP WHICH WILL PREPARE THEM FOR NATIONAL SPORTS COMPETITION.  PHYSICAL DEVELOPMENT IS MEASURABLE, BUT THE ABILITY OF THE YOUTH TO WORK AS A TEAM AND THE GROWTH THEY ACHIEVE IN SELF-CONFIDENCE IS DIFFICULT TO MEASURE.
841575562	2018-04-03	FCCAN'S PRIMARY EXEMPT PURPOSE IS TO EDUCATE NONVIOLENT SOCIAL CHANGE / CITIZEN PARTICIPATION.  WE HAVE 815 PEOPLE ON OUR MAILING LIST. WE HOLD RALLYS AND EDUCATIONAL FORUMS TO FULFILL OUR PURPOSE.
475308126	2018-05-09	UNIVERSITY PREPARATORY SCHOOLS IS A CHARTER SCHOOL NETWORK IN THE DENVER PUBLIC SCHOOLS SYSTEM. WE CURRENTLY SERVE 600 STUDENTS IN THE NEAR NORTH EAST DENVER REGION.  U PREP S MISSION IS TO BUILD A FOUNDATION OF SKILLS, KNOWLEDGE, AND CHARACTER, EDUCATING EVERY STUDENT FOR A FOUR-YEAR COLLEGE DEGREE AND A LIFE OF OPPORTUNITY. UNIVERSITY PREP MAINTAINS HIGH EXPECTATIONS FOR EVERY CHILD AND FAMILY, BELIEVING THAT A CHILD S ZIP CODE SHOULD NOT AND WILL NOT DETERMINE THEIR DESTINY.
840196006	2018-02-20	THE PROFIT ACHIEVED THROUGH EFFECTIVE FINANCIAL MANAGEMENT IS USED TO MEET ITS FRATERNAL AND CHARITABLE OBJECTIVES TO ITS MEMBERS AND COMMUNITY.
814337938	2018-04-13	"THE CORPORATION IS ORGANIZED AND SHALL BE OPERATED EXCLUSIVELY FOR CHARITABLE, EDUCATIONAL, TECHNICAL AND SCIENTIFIC PURPOSES WITHIN THE MEANING OF SECTION 501(C)(3) OF THE INTERNAL REVENUE CODE OF 1986 (THE ""CODE"").  SUBJECT TO THE FOREGOING, THE PURPOSE OF THE CORPORATION IS TO LESSEN THE BURDENS OF GOVERNMENT AND TO PROMOTE PUBLIC USE AND ENHANCE ENVIRONMENTAL, RECREATIONAL AND OVERALL SUSTAINING PROTECTIONS OF THE HIGH LINE CANAL, WHICH IS A REGIONAL GREENWAY LOCATED FROM WATERTON CANYON IN DOUGLAS COUNTY, COLORADO TO ITS TERMINATION IN GREEN VALLEY RANCH IN NORTHEAST DENVER (THE  HIGH LINE CANAL ). SUBJECT TO THE FOREGOING, THE SPECIFIC PURPOSES AND OBJECTIVES OF THE CORPORATION ARE TO PRESERVE, PROTECT AND ENHANCE THE 71-MILE LEGACY CANAL -- IN PARTNERSHIP WITH THE PUBLIC.  TO ACCOMPLISH THIS THE CORPORATION WILL:   (A) BUILD AN ORGANIZATIONAL STRUCTURE THAT SUPPORTS A COMPREHENSIVE, COMMUNITY-BASED VISIONING AND PLANNING PROCESS FOR THE HIGH LINE CANAL;  (B) ENGAGE PUBLIC CITIZENS, ELECTED OFFICIALS AND STAKEHOLDERS TO ADOPT A TRANSFORMATIONAL AND LONG LASTING FUTURE PLAN FOR THE ENHANCEMENT AND MANAGEMENT OF THE HIGH LINE CANAL (AN ESTIMATED 500,000 USERS FREQUENT THE CANAL ANNUALLY (AS OF 2016));  (C) IN COLLABORATION WITH DENVER WATER AND THE GOVERNMENTAL JURISDICTIONS, DEVELOP MASTER PLANS AND PROPOSALS FOR DEVELOPMENT OF HIGH LINE CANAL PUBLIC TRAILS AND OPEN SPACE, INCLUDING RECOMMENDATIONS REGARDING PUBLIC SAFETY AND INFRASTRUCTURE NEEDS;  (D) DEVELOP IMPLEMENTATION PLANS AND WORK WITH DENVER WATER AND THE GOVERNMENTAL ENTITIES ALONG THE CANAL TO DESIGN AND BUILD SUCH ENHANCEMENTS FOR THE BENEFIT OF ALL PEOPLE IN THE DENVER REGION (AN ESTIMATED 350,000 RESIDENTS LIVE WITHIN 1 MILE OF THE 71-MILE CANAL); AND TO UNDERTAKE OTHER ACTIVITIES CONSISTENT WITH THESE CHARITABLE PURPOSES WITHIN THE MEANING OF SECTION 501(C)(3) OF THE CODE."
461580937	2018-06-14	ORGANIZATION HAS SERVED ON THE WESTERN SLOPE FOR A NUMBER OF YEARS AS AN AD HOC GROUP.  WE PROVIDE IMMEDIATE FINANCIAL SUPPORT FOR VETERANS AND THEIR FAMILIES IN CASE OF SERIOUS NEED.  ADDITIONALLY, WE SERVE AS A COORDINATION/ COMMUNICATIONS HUB FOR OTHER VETERANS GROUPS AND THE COMMUNITY AS A WHOLE.  FINALLY, WE ORGANIZE OR HELP ORGANIZE VARIOUS VETERANS EVENTS DURING THE YEAR -- MOST NOTABLY THE VETERANS DAY PARADE AND CEREMONY.
813875130	2018-08-17	WE ARE A NON-PROFIT RELIGIOUS ORGANIZATION (CHURCH) WITH A CHARITABLE PURPOSE.
841529786	2018-08-22	TO SUPPORT TO MOTHERS BATTLING ADDICTION BY PROVIDING EDUCATION, AWARENESS AND RESOURCES.
840967043	2018-01-10	OUR MISSION IS TO TREAT INJURED AND ORPHANED WILDLIFE, PRIMARILY RAPTORS, SUCH AS EAGLES, HAWKS, FALCONS AND OWLS AND RETURN HEALTHY MEMBERS OF THE BREEDING POPULATION TO THEIR NATURAL HABITAT;     TO FOSTER COMPASSION FOR WILDLIFE IN DISTRESS AND TEACH NEW GENERATIONS THROUGH MENTORSHIPS, INTERNSHIPS, LECTURES, AND VOLUNTEER PROGRAMS;    TO WORK CONTINUOUSLY TO IMPROVE THE HIGH QUALITY CARE AND HOUSING OF CAPTIVE RAPTORS EVERYWHERE THROUGH EDUCATION; OBSERVATION, INVENTION AND EXEMPLARY ETHICS IN THEIR TREATMENT AND HUSBANDRY.
464714413	2018-05-16	TO REDUCE TENSION WITHIN THE COMMUNITY FROM THE 2013 FLOOD BY RAISING FUNDS TO ASSIST IN THE RESTORATION OF THE INFRASTRUCTURE OF GLEN HAVEN, COLORADO.
742131682	2018-08-15	VSA COLORADO IS AN ORGANIZATION DEDICATED TO ENRICHING THE LIVES OF PEOPLE WITH DISABILITIES THROUGH THE ARTS. WE SERVE 5000 PEOPLE PER YEAR AND OFFER A QUARTERLY NEWSLETTER.
562550132	2018-08-24	LOCALWORKS, INCORPORATED AS WHEAT RIDGE 2020, ADVANCES WHEAT RIDGE AS A VIBRANT AND SUSTAINABLE COMMUNITY. WHEAT RIDGE 2020 ENGAGES IN COMMUNITY AND ECONOMIC DEVELOPMENT SERVING THE CITY OF WHEAT RIDGE AND ITS APPROXIMATELY 30,000 RESIDENTS AND BUSINESSES. LOCALWORKS PROVIDES PROGRAMS AND SERVICES THAT ENCOURAGE BUSINESS DEVELOPMENT, INVEST IN NEIGBHORHOODS AND CHANGE POLICIES AND REGULATIONS THAT WILL ENTICE FURTHER INVESTMENT AND DEVELOPMENT IN THE COMMUNITY.
841353940	2018-01-26	TO PROMOTE UNITY AND SOLIDARITY THROUGH EDUCATING ITS MEMBERS AND PROVIDING FORUMS OF DISCUSSIONS, IDENTIFYING AND ADDRESSING ISSUES AND CONCERNS IN THEIR NATIVE HOMELAND, SPECIFICALLY THE METRO INFANTA AREA IN THE PROVINCE OF QUEZON AND BEYOND.
742227972	2018-06-19	THE PURPOSE OF THE ASSOCIATION OF CHRISTIAN MINISTRIES TO INTERNATIONALS IS TO CREATE A NETWORK OF CHRISTIAN ORGANIZATIONS AND INDIVIDUALS WHOSE OBJECTIVE IS TO COMBINE EFFORTS FOR STRENGTHENING AND ENCOURAGING THE DEVELOPMENT OF CHRISTIAN MINISTRIES TO FOREIGN STUDENTS AND VISITORS TEMPORARILY RESIDING ON THE NORTH AMERICAN CONTINENT.
205474742	2018-07-24	1. TO PROVIDE CRISIS INTERVENTION AND REFERRAL SERVICES TO VICTIMS OF SEXUAL ASSAULT ON A 24-HOUR BASIS.  2. TO PROVIDE VICTIMS OF SEXUAL ASSAULT WITH INFORMATION ON GOVERNMENTAL, CHARITABLE, AND PRIVATE ORGANIZATIONS WHO CAN ASSIST THEM IN RESOLUTION OF PERSONAL PROBLEMS.  3. TO HAVE AND EXERCISE ALL POWERS INCIDENTAL TO, DESIRABLE OR NECESSARY TO CARRY OUT THE FOREGOING OBJECTIVES AND PURPOSES IN FURTHERANCE OF THE LAWS OF THE STATE OF COLORADO WITH RESPECT TO NON-PROFIT CORPORATIONS.  4. TO SOLICIT DIRECTLY AND INDIRECTLY AND RECEIVE FUNDS AND PROPERTY FOR THE ABOVE PURPOSES FROM ANY SOURCE SO INTERESTED AND TO PROVIDE FOR THE USE OF SUCH FUNDS AS CONFORMS TO THE OBJECTIVES OF S.A.R.A., INC.
841331121	2018-02-09	THE FOUNDATION IS A PHILANTHROPIC EXPRESSION OF THE MEMBERSHIP'S CONTINUED INTEREST IN AND CONCERN FOR STUDENTS OF THE DENVER PUBLIC SCHOOLS. THE FOUNDATION'S OBJECTIVE IS TO ASSIST HIGH-ACHIEVING DPS GRADUATING SENIORS IN PURSUING HIGHER EDUCATION
742373935	2018-04-26	THE FOUNDATION WAS ESTABLISHED AS A WAY TO FACILITATE THE CONTRIBUTION OF FUNDS, PROPERTY, OR SERVICES TO COUNTY PROGRAMS DESIGNED TO IMPROVE THE HEALTH, SAFETY AND WELFARE OF THE CITIZENS OF ARAPAHOE COUNTY.  EXAMPLES OF PROGRAMS ARE THE ANNUAL COUNTY FAIR, THE IMPROVEMENT OF THE COUNTY FAIRGROUNDS, METRO MAYORS & COMMISSIONERS YOUTH AWARDS (MMCYA) PROGRAM, ADOPT A FAMILY AND HOPE. THE COUNTY FAIR IS HELD EACH JULY TO PROVIDE A SHOWCASE FOR LOCAL YOUTH 4H ACTIVITIES AS WELL AS OTHER ENTERTAINING ACTIVITIES FOR CITIZENS.  THE COUNTY FAIRGROUNDS PROVIDES A LOCATION FOR THE ANNUAL COUNTY FAIR AND OTHER GATHERINGS FOR CITIZENS.  THE MMCYA PROGRAM AWARDS SCHOLARSHIPS TO HIGH SCHOOL SENIORS WHO HAVE OVERCOME ADVERSITY TO ACCOMPLISH GREAT ACHIEVEMENTS.  ADOPT A FAMILY PROVIDES HOLIDAY GIFTS TO FAMILIES THAT ARE CURRENTLY OBTAINING SERVICES THROUGH THE COUNTY S HUMAN SERVICES DEPARTMENT.   HOPE PROVIDES FINANCIAL ASSISTANCE TO CHILDREN WHO ARE VICTIMS OF ABUSE OR NEGLECT, AT-RISK SENIORS AND STRUGGLING FAMILIES AND INDIVIDUALS WITH NEEDS THAT CAN NOT BE MET BY FORMAL WELFARE PROGRAMS OR OTHER COMMUNITY RESOURCES.
272532693	2018-05-11	TO PROVIDE FINANCIAL ASSISTANCE FOR EDUCATIONAL TUITION FOR END STAGE RENAL DIALYSIS PATIENTS WHO ARE AWAITING KIDNEY TRANSPLANT.    REFER TO:  WWW.DIALYSISSCHOLARSHIPFUND.ORG
841322796	2018-05-18	HIGH PERFORMANCE DANCE THEATRE IS A NON PROFIT EDUCATIONAL ARTS ORGANIZATION WHOSE MISSION IS TO PROVIDE HIGH QUALITY PRODUCTIONS AS WELL AS BRINGING ART TO OUR COMMUNITY.  IN OUR IMMEDIATE COMMUNITY OF NORTHERN COLORADO WE SERVE APPROXIMATELY 2000-5000 PER YEAR.  OUTSIDE OF OUR COMMUNITY- 3000 WITH OUR RESIDENCY PROGRAM.
841095741	2018-08-30	"DEDICATED TO SAVING THE DISADVANTAGED HORSE... ONE RESCUE, ONE HUMAN, ONE HOME AT A TIME.  WE PROVIDE SHELTER, CARE, AND ADOPTION SERVICES FOR ABUSED, ABANDONED, NEGLECTED AND UNWANTED HORSES. SINCE 1986, CHR HAS FOUND HOMES FOR OVER 1,600 HORSES. COLORADO HORSE RESCUE PROVIDES EQUINE EDUCATION FOR THE GENERAL PUBLIC AND WE PUBLISH A NEWSLETTER TITLED ""THE CHRONICLE""."
841160922	2017-05-23	THE TWO PONDS PRESERVATIN FOUNDATION HAS BEEN ESTABLISHED FOR THE PURPOSE OF PRESERVING WETLANDS AND NATURAL HABITAT SPECIFICALLY BUT NOT LIMITED TO URBAN AREAS. IT IS THE INTENT OF THE FOUNDATION THAT LAND(S) WHICH THE FOUNDATION HELPS SECURE AND PRESERVE BE OPEN FOR THE PUBLIC AND ASSIST CHILDREN IN URBAN AREAS STUDY AND BETTER UNDERSTAND THEIR NATURAL HERITAGE.  THE FOUNDATION LAUNCHED ITS FIRST MAJOR FUND RAISING EFFORT IN 2000 AND SINCE THEN HAS RAISED OVER $250,000 FROM PRIVATE DONATIONS, GRANTS AND IN-KIND CONTRIBUTIONS. THESE CONTRIBUTIONS HAVE BUILT KIOSKS AT THE THREE REFUGE ENTRANCES, TRAILS, PAVING BRICKS, BENCHES AT THE EAST ENTRANCE AND THE TWO PEDESTRIAN BRIDGES OVER THE CANALS. THE FUNDS HAVE ALSO SUPPORTED ENVIRONMENTAL EDUCATION PROJECTS INCLUDING THE PRARIE GARDEN PLANTINGS WITH PLANT ID SIGNS, A NOXIOUS WEED BROCHURE, INTERACTIVE SKETCH TABLE, A REFUGE TOUR BROCHURE AND A TRAVELING ENVIRONMENT TRUNK WHICH IS USED IN SCHOOLS THROUGHOUT THE METRO AREA. THE FOUNDATION HOSTS THE FEDERAL JUNIOR DUCK STAMP ART CONTEST IN COLORADO, PARTICIPATES IN ARVADA'S HARVEST FESTIVAL, TRAILS DAY, TAKE PRIDE IN ARVADA DAY AND IS A MEMBER OF THE ARVADA CHAMBER OF COMMERCE.  THE FOUNDATION HAS A MEMBERSHIP OF APPROXIMATELY 120.  AWARDS:  1991 OUTSTANDING ACHIEVEMENT AWARD-US ENVIRONMENTAL PROTECTION AGENCY  192/93 VOLUNTEER SERVICE AWARD-US DEPARTMENT OF INTERIOR  1993 OUTSTANDING CONTRIBUTION AWARS (TAKE PRIDE IN AMERICA CAMPAIGN)-US FISH AND WILDLIFE SERVICE  1999 LAND LEADERSHIP AWARD-US FISH & WILDLIFE SERVICE MOUNTAIN-PRAIRIE REGION
846037740	2017-12-22	THE MISSION OF THE BOULDER PHILHARMONIC ORCHESTRA IS TO PROVIDE HIGH-QUALITY ORCHESTRAL PROGRAMMING FOR THE BOULDER AREA.  25,000 PEOPLE PER YEAR ARE REACHED THROUGH SEASON CONCERTS AND 2,000 PUBLIC SCHOOL CHILDREN IN SCHOOL CONCERTS.
742155358	2017-12-22	COLORADO WEST LAND TRUST MISSION STATEMENT:  TO PROTECT AND ENHANCE AGRICULTURAL LAND, WILDLIFE HABITAT AND SCENIC LANDS IN WESTERN COLORADO TO BENEFIT THE COMMUNITY AT LARGE, ENRICH LIVES, PROVIDE OPPORTUNITIES FOR OUTDOOR RECREATION, AND ENSURE OUR CONNECTION TO LAND FOR GENERATIONS TO COME.    THE LAND TRUST CURRENTLY HAS APPROXIMATELY 600 ACTIVE MEMBERS AND THE ORGANIZATION SENDS OUT AN ANNUALLY-PUBLISHED NEWSLETTER TO THOSE MEMBERS AS WELL AS TO OTHER SECTORS IN THE COMMUNITY.  MESA LAND TRUST IS ACTIVELY ENGAGED IN EDUCATING LANDOWNERS AND BUSINESS PROFESSIONALS THROUGHOUT THE COMMUNITY ABOUT CONSERVATION EASEMENTS AS A LAND AND ESTATE PLANNING TOOL AND HELPING THEM ACHIEVE CONSERVATION OBJECTIVES.  THE LAND TRUST ALSO WORKS ON AN ONGOING BASIS TO RAISE AWARENESS THROUGHOUT THE COMMUNITY OF IT'S MISSION AND THE IMPORTANCE OF CONSERVING LAND FOR THE FUTURE.  THE LAND TRUST HAS CONSERVED OVER 65000 ACRES OF LAND AS OF 4/30/2017.
841169288	2018-05-10	THE EAST MORGAN COUNTY HOSPITAL FOUNDATION EXISTS TO PROVIDE FUNDS AND SUPPORT FOR CAPITAL AND PROGRAM NEEDS TO SUPPORT EAST MORGAN COUNTY HOSPITAL IN PROVIDING EXCELLENT PATIENT CARE.
364160878	2017-10-10	THE PURPOSE OF DESTA (DBA IDEAS) IS TO DEMONSTRATE LOVE THROUGH SERVING FORGOTTEN AND OVERLOOKED PEOPLE BY MEETING SOCIAL, INTELLECTUAL, PHYSICAL AND SPIRITUAL NEEDS.
812909330	2017-07-21	FUNDRAISING TO BENEFIT THE PINNACLE CHARTER HIGH SCHOOL FOOTBALL TEAM.
264764161	2017-11-14	IMPROVE EDUCATIONAL ASPECTS OF INTERSCHOLASTIC ATHLETICS, ASSIST MEMBERSHIP IN ADMIN OF ATHLETIC PROGRAMS, SUPPORT MEMBERSHIP THRU REFERNCING, NETWORKING, MENTORING & PROF DEVELOPMENT, PROMOTE POSITIVE IMAGE FOR ATHLETICS & ADMINISTRATORS. PUBLISHES 3 NEWSLETTERS, CONDUCTS CONFERENCE WITH TRAINING WORKSHOPS, PROVIDES SCHOLARSHIPS FOR STUDENT ATHLETES
840586417	2018-04-10	NEW HORIZONS IS A NON-PROFIT BILINGUAL COOPERATIVE PRECHOOL, WHOSE  PRINCIPAL PURPOSE IS TO PROVIDE A QUALITY PRESCHOOL EDUCATION  TO A DIVERSE POPULATION OF CHILDREN, WITH TUITION BASED ON THE  FAMILY'S ABILITY TO PAY. FUNDRAISING AND GRANTS  PROVIDE FOR SCHOLARSHIPS AND SPECIAL PROGRAMS. THE SCHOOL SERVES 52 CHILDREN BETWEEN THE AGES OF 2 1/2 AND 6 EACH YEAR.   ONE HALF OF THE FAMILIES PAY FULL TUITION, ONE HALF PAY   REDUCED TUITION BASED ON THEIR ABILITY TO PAY.   ONE HALF OF THE CHILDREN SPEAK SPANISH AS A FIRST   LANGUAGE. THE SCHOOL WAS FOUNDED IN 1968, AFTER THE   ASSASSINATION OF DR. MARTIN LUTHER KING, JR. TO BRING  TOGETHER FAMILIES OF DIFFERING RACIAL, ETHNIC AND ECONOMIC  BACKGROUNDS TO LIVE AND LEARN IN PEACE WITH EACH OTHER. THE   SCHOOL AND ITS DIRECTOR HAVE RECEIVED SEVERAL AWARDS AND  SPECIAL RECOGNITION FOR THEIR CONTRIBUTION TO THE   COMMUNITY.
141964306	2018-06-19	TO BRING JEWISH TRADITIONS AND LIFE CYCLE CELEBRATIONS TO THE COMMUNITY IN A WAY THAT ENRICHES PEOPLE SIIRITUALLY AND INTELLECTUALLY IN AN OPAN AND INVITING ATMOSPHERE.
273830141	2018-08-31	IN ACCORDANCE WITH PALMER PRIDE BYLAWS, FUNDS WILL BE USED TO PROMOTE OR ENHANCE THE ACADEMIC, ATHLETIC OR SOCIAL DEVELOPMENT OF STUDENTS AND STAFF OF PALMER HIGHT SCHOOL.  THESE FUNDS MAY BE USED FOR, BUT NOT LIMITED TO FEES RELATED TO CLUB, SPORTS, BAND OR TEAM EXPENSES DUE TO COMPETITION, SPECIAL EVENTS, EQUIPMENT/SUPPLIES PURCHASES, FACILITY USE OR IMPROVEMENTS, RENTAL FEES AND TRAVEL RELATED COSTS.  FUNDS MAY ALSO BE USED FOR SCHOLARSHIPS TO STUDENTS OR ALUMNI WHO MAY OTHERWISE NOT HAVE THE FINANCIAL MEANS TO PARTICIPATE IN ANY OF THE ABOVE MENTIONED ACTIVITIES OR EVENTS.  ESTIMATED STUDENTS ELIGIBLE TO RECEIVE FUNDING OR SUPPORT 1200 AND STAFF OF 75.
201891947	2017-07-19	THE RELIGIOUS NATURE OF THIS ORGANIZATION WILL BE FOR THE   PURPOSE OF MAKING SPIRITUAL DIRECTION, DAILY PRAYER WITH  SCRIPTURE AND THE SPIRITUAL EXERCISES OF ST. IGNATIUS MORE  AVAILABLE TO THOSE WHO SEEK HOLINESS. THE LANTERI CENTER WILL ALSO PROVIDE TRAINING AND CONTINUING EDUCATION OPPORTUNITIES FOR SPIRITUAL DIRECTORS.
742286109	2018-02-01	CHARITABLE ORGANIZATION SUPPORTING LOCAL NON-PROFIT ORGANIZATIONS THROUGH RAISING FUNDS AND VOLUNTEER HOURS.
454465237	2018-03-20	ASSIST INTERNATIONAL CHILDREN WITH EDUCATION SUPPLIES AND EDUCATION FACILITIES SUPPORT.
840699612	2018-05-14	TO PROMOTE, PROTECT AND UNIFY THE EQUESTRIAN COMMUNITY OF BOULDER COUNTY THROUGH EDUCATION, RECREATION AND LEGISLATION.  OUR MEMBERSHIP IS ABOUT 220, BUT OUR CLIENT BASE WOULD INCLUDE  ALL LOCAL HORSE PEOPLE.  WE PUBLISH A BI-MONTHLY NEWSLETTER AND SUPPORT AND SPONSOR MANY HORSE-RELATED ACTIVITIES AND SEMINARS.
262824329	2018-05-16	SPECIFICALLY, THIS NONPROFIT CORPORATION IS ORGANIZED AND OPERATED TO PROVIDE RELIEF TO THE POOR, DISTRESSED, AND UNDERPRIVILEGED, BY PROVIDING THE FUNDS NECESSARY TO SUPPORT FAMILIES, CHILDREN, AND INDIVIDUALS OF ALL AGES WHO ARE IN DIRE NEED OF ASSISTANCE, TO PROVIDE SUPPORT AND ASSISTANCE TO INDIVIDUALS WHO HAVE DETRIMENTALLY BEEN IMPACTED BY FIRE, MEDICAL, AND OTHER LIFE-THREATENING EMERGENCIES, TO PROVIDE FINANCIAL ASSISTANCE TO LIKE-MINDED ORGANIZATIONS AND INDIVIDUALS THAT ARE COMMITTED TO PROTECTING PRECIOUS AND INNOCENT LIVES, AND TO PROMOTE THE OVERALL WELL-BEING AND HAPPINESS OF INDIVIDUALS THROUGH FUNDING VARIOUS CAUSES THAT ARE DEDICATED TO ASSISTING THE NEEDY AND ENSURING THAT ALL INDIVIDUALS ARE GIVEN THE OPPORTUNITY TO SUCCEED AND LEAD HEALTHY AND ENRICHING LIVE
841229714	2018-03-02	FLATIRONS HABITAT FOR HUMANITY BUILDS HOUSES USING VOLUNTEER LABOR AND DONATED MATERIALS, THEN SELLS THEM WITH ZERO-INTEREST MORTGAGES TO LOW-INCOME FAMILIES.  FLATIRONS HABITAT HAS BUILT, REHABILITATED OR REPAIRED HOMES FOR 97 FAMILIES TO DATE.  PARTNER FAMILIES ARE REQUIRED TO PUT IN 225 HOURS OF SWEAT EQUITY PER ADULT IN THE HOUSEHOLD BEFORE THEY CAN PURCHASE THEIR HOME WITH A ZERO INTEREST MORTGAGE. IN ADDITION, FLATIRONS HABITAT PROVIDES INDIVIDUALS, BUSINESSES, CHURCHES, AND COMMUNITY ORGANIZATIONS AN OPPORTUNITY TO MAKE A DIFFERENCE IN THEIR COMMUNITY, WHILE BUILDING TIES BETWEEN DIVERSE SOCIO-ECONOMIC GROUPS.
